Bedrooms,Sqft Area,Price per Sqft (INR),Toilets,Locality,Renovation Type,Total Renovation Cost (INR),House Age (years),Material Quality,Energy Efficiency Rating
4,1656,208492,4,Urban,luxury,5378256,50,medium,5
5,735,93368,4,Urban,moderate,5387068,40,low,4
4,845,228832,4,Urban,necessity,5412944,4,high,3
2,1915,236252,2,Urban,moderate,5415824,2,medium,5
5,1074,31628,4,Rural,necessity,5426872,6,medium,2
4,1217,25800,4,Rural,necessity,5433092,42,low,5
5,760,98592,4,Urban,necessity,5440120,4,medium,1
3,2154,30196,3,Rural,necessity,5447068,29,low,3
3,1805,150600,2,Urban,luxury,5455416,18,high,2
3,1835,80420,2,Urban,luxury,5459368,26,low,4
1,2055,162780,1,Urban,necessity,5466396,44,low,2
3,2176,28236,3,Rural,luxury,5475244,34,low,4
2,1166,126144,2,Urban,moderate,5502712,10,low,2
2,1253,152096,2,Urban,necessity,5565644,36,high,5
1,1433,119612,1,Urban,luxury,5574856,14,high,5
4,2117,11192,4,Rural,moderate,5578864,31,medium,5
1,2688,28144,1,Rural,necessity,5619264,48,high,1
1,1776,16332,1,Rural,moderate,5624468,15,high,4
5,2026,20428,4,Rural,necessity,5627612,8,medium,5
2,2432,13172,2,Rural,luxury,5634888,14,high,1
4,895,181120,4,Urban,luxury,5637204,23,low,4
5,1100,24312,4,Rural,moderate,5655844,40,low,2
5,1697,139596,4,Urban,moderate,5664128,21,medium,1
4,1717,126372,3,Urban,necessity,5666616,16,medium,3
3,1535,47312,2,Rural,moderate,5676200,45,medium,1
2,1992,178228,2,Urban,necessity,5688780,18,low,1
1,2717,32040,1,Rural,necessity,5690592,47,high,4
5,873,122824,4,Urban,moderate,5709500,24,low,2
4,1004,138652,4,Urban,necessity,5729232,26,medium,3
3,2469,49572,2,Rural,necessity,5752064,25,high,5
3,2401,24040,2,Rural,necessity,5760988,45,high,5
5,1714,167016,4,Urban,luxury,5763100,41,low,1
3,2352,7852,3,Rural,moderate,5776308,29,medium,4
5,2199,43536,4,Rural,moderate,5786512,15,low,4
5,1228,51492,4,Rural,luxury,5787816,45,high,5
1,2701,46632,1,Rural,luxury,5791564,1,low,3
3,1928,147868,3,Urban,necessity,5798580,25,low,2
2,1327,112500,2,Urban,luxury,5798852,7,medium,3
4,2375,44424,3,Rural,necessity,5804480,9,medium,2
1,1754,12176,1,Rural,luxury,5810692,24,high,5
5,862,223360,4,Urban,luxury,5814212,1,low,2
5,2104,11536,4,Rural,luxury,5817636,44,low,4
1,2824,25740,1,Rural,moderate,5819620,8,low,1
2,1350,179804,1,Urban,necessity,5845732,24,high,1
3,1138,189696,3,Urban,moderate,5867640,11,high,5
1,2365,225948,1,Urban,necessity,5870364,17,medium,4
5,2183,33520,4,Rural,moderate,5933328,8,medium,3
1,2871,28028,1,Rural,moderate,5946900,35,medium,4
5,1691,232788,4,Urban,necessity,5956148,35,low,1
3,1993,141396,3,Urban,moderate,5956304,33,low,1
4,2435,21020,3,Rural,moderate,6014880,5,medium,4
2,2743,55188,2,Rural,luxury,6050696,42,low,4
2,1750,31576,1,Rural,luxury,6103472,39,medium,1
3,2650,31120,3,Rural,moderate,6107556,41,high,3
3,2494,18440,3,Rural,luxury,6110252,28,medium,5
4,1152,150696,3,Urban,moderate,6127456,7,high,5
3,2105,177452,3,Urban,necessity,6127924,9,low,4
2,2843,25792,2,Rural,necessity,6148672,8,medium,5
3,2680,56124,3,Rural,necessity,6186092,12,low,1
3,2704,10196,3,Rural,luxury,6188412,34,high,1
5,1394,5624,4,Rural,luxury,6230856,33,high,4
4,2609,5952,3,Rural,luxury,6233476,48,high,4
2,2886,52160,1,Rural,moderate,6245608,23,low,4
2,2763,31172,2,Rural,moderate,6274972,24,low,3
5,2476,25120,4,Rural,moderate,6306756,37,low,5
2,2324,101780,2,Urban,luxury,6311680,35,low,4
3,2765,23192,3,Rural,luxury,6334348,44,high,2
2,2400,87876,2,Urban,luxury,6336748,40,high,2
5,1328,36848,4,Rural,moderate,6350044,22,medium,1
1,1644,167216,1,Urban,necessity,6351424,27,medium,5
5,2356,52228,4,Rural,moderate,6353812,35,low,4
5,1428,24188,4,Rural,moderate,6358756,1,high,2
4,2560,53516,4,Rural,moderate,6373304,35,high,5
2,1858,50172,2,Rural,necessity,6379768,37,high,1
1,2428,111392,1,Urban,moderate,6380880,47,medium,3
2,2775,35032,2,Rural,luxury,6383996,14,medium,5
3,1655,23040,3,Rural,necessity,6386900,3,high,5
3,1709,53124,3,Rural,necessity,6396660,1,high,3
5,1971,231784,4,Urban,necessity,6407992,5,high,5
4,2081,212248,4,Urban,luxury,6409892,26,medium,1
4,2139,187936,4,Urban,luxury,6470144,14,high,1
5,1428,54444,4,Rural,necessity,6484184,39,high,3
2,2328,159900,2,Urban,necessity,6487616,27,low,4
4,1184,232004,4,Urban,luxury,6489924,9,low,2
3,2862,37812,3,Rural,luxury,6491680,15,medium,4
1,2494,186464,1,Urban,moderate,6499688,15,high,5
4,2637,48552,3,Rural,moderate,6529152,26,high,2
4,2535,26772,4,Rural,necessity,6533940,42,low,3
1,1640,92080,1,Urban,luxury,6537700,13,medium,3
5,2458,21724,4,Rural,moderate,6538924,32,low,2
4,1562,23580,4,Rural,necessity,6612828,39,low,1
2,1884,40824,1,Rural,moderate,6616468,49,low,2
3,1376,229244,3,Urban,luxury,6621840,32,low,5
4,2594,33244,4,Rural,necessity,6621996,4,high,1
3,2761,44240,3,Rural,necessity,6632912,30,high,3
4,2183,150408,4,Urban,luxury,6641556,37,low,2
4,2633,46796,4,Rural,necessity,6645264,23,medium,4
5,1095,212156,4,Urban,luxury,6647260,39,medium,4
3,2338,84544,3,Urban,luxury,6649776,45,medium,5
1,2656,140608,1,Urban,moderate,6666624,15,medium,4
5,2687,41300,4,Rural,luxury,6674156,43,low,2
5,2690,39200,4,Rural,necessity,6689408,29,high,2
1,2136,27108,1,Rural,necessity,6692056,36,medium,4
2,2442,220532,2,Urban,luxury,6708424,13,low,2
2,2562,97880,1,Urban,necessity,6713192,32,medium,5
1,2693,197028,1,Urban,necessity,6720348,7,medium,1
4,1581,56712,4,Rural,moderate,6724832,22,low,5
1,2040,48324,1,Rural,luxury,6740304,28,high,5
4,1189,171444,4,Urban,necessity,6751540,2,high,2
2,2539,212568,1,Urban,moderate,6785188,42,low,1
5,2570,4652,4,Rural,moderate,6786732,45,high,2
2,2642,202828,1,Urban,necessity,6796184,6,low,3
3,2393,89412,3,Urban,necessity,6800800,28,low,2
3,1401,82100,3,Urban,moderate,6806284,28,low,2
5,2173,202092,4,Urban,necessity,6812332,44,high,2
5,1549,13972,4,Rural,moderate,6831668,44,low,1
2,1973,48952,1,Rural,moderate,6839096,20,medium,2
1,2658,149736,1,Urban,moderate,6874356,30,high,1
3,1513,166368,2,Urban,necessity,6890216,11,high,4
2,2642,196964,2,Urban,luxury,6910356,28,high,3
4,2302,213356,3,Urban,moderate,6930048,25,high,1
4,2274,238740,4,Urban,necessity,6931640,39,medium,4
1,2119,38936,1,Rural,necessity,6941648,33,high,1
5,1579,17496,4,Rural,necessity,6996112,1,high,1
1,1756,158492,1,Urban,moderate,7013432,27,low,3
3,2521,131212,3,Urban,moderate,7018952,13,high,5
4,2255,145236,4,Urban,luxury,7024848,41,medium,5
1,1746,115784,1,Urban,necessity,7039896,3,medium,1
4,1752,21432,4,Rural,necessity,7045064,39,medium,2
1,1748,183568,1,Urban,moderate,7058772,6,medium,4
1,2233,37740,1,Rural,luxury,7076404,8,high,2
4,2310,178312,3,Urban,necessity,7076640,27,high,2
5,1223,128012,4,Urban,necessity,7084072,9,medium,1
5,2865,53320,4,Rural,necessity,7102992,37,medium,1
3,2497,81124,3,Urban,necessity,7109176,33,high,1
3,1960,32908,2,Rural,necessity,7141780,42,medium,1
5,1208,119528,4,Urban,luxury,7148960,44,low,5
3,2594,104616,3,Urban,moderate,7185552,24,medium,1
1,1871,91232,1,Urban,luxury,7193932,15,medium,5
4,2363,136540,3,Urban,necessity,7229080,32,low,5
2,2158,59540,1,Rural,necessity,7243624,32,low,1
5,1314,210224,4,Urban,necessity,7243824,24,high,3
1,1896,152352,1,Urban,necessity,7246032,41,high,4
5,1667,15088,4,Rural,moderate,7266000,49,low,2
4,1853,31148,3,Rural,luxury,7269848,49,low,5
2,2129,54744,2,Rural,moderate,7326264,12,high,4
4,2417,186892,3,Urban,necessity,7338184,39,medium,3
4,1933,26624,3,Rural,moderate,7343536,2,low,2
4,1853,25888,3,Rural,necessity,7389100,3,high,2
3,2594,120900,2,Urban,luxury,7403484,49,medium,5
3,2731,154556,2,Urban,moderate,7405632,37,low,1
5,2357,116440,4,Urban,luxury,7490600,49,medium,3
3,2042,39708,3,Rural,luxury,7495008,17,high,5
1,2938,122896,1,Urban,luxury,7510456,49,low,3
3,2724,178296,2,Urban,moderate,7525704,2,medium,1
5,1829,30408,4,Rural,luxury,7552016,2,low,1
2,2897,95048,1,Urban,moderate,7560132,28,medium,5
2,1812,193520,1,Urban,necessity,7583728,23,high,1
5,2455,232024,4,Urban,luxury,7599312,37,high,4
3,1645,116068,2,Urban,moderate,7615276,32,low,2
3,2074,15408,2,Rural,necessity,7679212,33,medium,5
2,2182,57868,2,Rural,luxury,7682076,1,low,3
4,2576,189504,3,Urban,luxury,7682864,19,low,4
2,1888,108856,1,Urban,necessity,7687112,2,medium,5
2,2992,195324,1,Urban,moderate,7711056,44,medium,1
5,2552,158304,4,Urban,moderate,7718632,26,medium,1
4,1969,5928,3,Rural,luxury,7729132,32,high,1
1,2387,37032,1,Rural,necessity,7742108,6,low,1
4,2720,98812,3,Urban,necessity,7761112,32,low,3
4,1492,144004,4,Urban,moderate,7791408,4,high,4
2,2972,86240,1,Urban,luxury,7797888,11,medium,2
2,2897,120724,2,Urban,luxury,7804084,17,high,3
4,2049,26156,3,Rural,luxury,7818680,38,high,3
5,2443,88452,4,Urban,necessity,7823228,24,high,2
5,1450,141592,4,Urban,necessity,7826116,5,low,2
2,1916,216628,1,Urban,moderate,7878560,34,high,1
2,2408,47608,1,Rural,luxury,7900680,6,low,3
5,2658,198180,4,Urban,luxury,7962452,22,low,5
4,2628,148700,4,Urban,moderate,8033448,11,low,2
4,1620,175428,4,Urban,necessity,8038000,48,medium,2
4,1715,181164,3,Urban,necessity,8111440,16,low,4
5,2031,4592,4,Rural,moderate,8118224,33,low,5
4,2796,184572,3,Urban,moderate,8150880,9,medium,5
1,2575,54972,1,Rural,luxury,8152852,6,low,2
2,1945,136796,2,Urban,luxury,8167836,16,high,1
1,2070,102896,1,Urban,luxury,8171788,29,high,4
4,2169,5676,3,Rural,moderate,8173828,3,low,5
1,2133,134028,1,Urban,luxury,8190476,20,medium,2
5,2625,121444,4,Urban,luxury,8203528,36,high,5
1,2600,13888,1,Rural,necessity,8207208,19,medium,4
1,2656,43172,1,Rural,moderate,8259976,26,medium,4
1,2605,23528,1,Rural,necessity,8283540,3,high,3
5,1563,91680,4,Urban,necessity,8294524,19,medium,2
4,1669,165152,3,Urban,necessity,8294700,20,high,4
2,1964,224884,2,Urban,luxury,8326180,32,medium,3
3,1858,125700,2,Urban,luxury,8349004,7,high,3
4,1724,186820,3,Urban,moderate,8358168,41,low,5
3,2945,207532,3,Urban,necessity,8374764,33,high,5
5,2073,32180,4,Rural,moderate,8440956,40,high,3
3,2370,56940,2,Rural,luxury,8443992,39,high,5
2,2041,134448,2,Urban,moderate,8467804,18,high,4
4,2949,119388,4,Urban,necessity,8567624,40,medium,1
2,2548,16160,1,Rural,necessity,8579164,1,low,4
4,2323,6520,3,Rural,luxury,8583496,11,high,3
5,2775,227508,4,Urban,necessity,8608108,28,medium,3
5,1641,206340,4,Urban,luxury,8623372,25,low,4
4,2351,6756,3,Rural,necessity,8644420,50,low,5
4,2336,6644,3,Rural,necessity,8651668,23,low,5
2,2581,56488,2,Rural,necessity,8667972,31,low,3
4,2355,44580,3,Rural,moderate,8682184,30,high,2
1,2253,196036,1,Urban,moderate,8738300,42,high,5
4,2992,123264,3,Urban,luxury,8738808,35,medium,4
1,2786,46104,1,Rural,moderate,8750920,7,medium,5
4,2363,46996,3,Rural,necessity,8854432,16,medium,4
4,1890,209652,3,Urban,luxury,8880272,26,low,3
5,2910,153760,4,Urban,luxury,8886920,48,low,5
3,2536,36908,3,Rural,moderate,8979736,49,high,4
1,2327,186740,1,Urban,luxury,8993768,2,low,3
1,2893,19496,1,Rural,necessity,9001244,1,low,2
5,2215,55776,4,Rural,necessity,9026060,48,low,4
1,2310,168060,1,Urban,moderate,9074668,12,medium,2
5,2334,44804,4,Rural,moderate,9079548,5,medium,2
2,2272,187152,1,Urban,necessity,9114524,37,high,1
2,2168,106252,2,Urban,luxury,9118720,32,low,5
5,1819,124332,4,Urban,necessity,9187612,9,low,4
4,2468,46372,4,Rural,necessity,9191604,41,high,2
2,2319,88200,1,Urban,necessity,9208032,35,low,1
5,1812,116800,4,Urban,moderate,9294036,19,low,3
3,2616,37732,3,Rural,moderate,9365852,48,medium,4
1,2496,182236,1,Urban,necessity,9382164,16,high,2
3,2146,238992,3,Urban,luxury,9396968,3,high,5
3,2135,93720,3,Urban,luxury,9401904,20,high,1
5,2381,36936,4,Rural,moderate,9406828,24,high,2
5,1824,155400,4,Urban,necessity,9413368,33,medium,5
4,1984,146644,4,Urban,moderate,9449276,24,medium,2
5,1872,105104,4,Urban,moderate,9570516,11,low,4
1,2517,102504,1,Urban,necessity,9586508,49,low,4
3,2673,11216,3,Rural,moderate,9586752,8,low,4
5,2500,31228,4,Rural,moderate,9595676,36,low,1
2,2388,82476,1,Urban,luxury,9660728,38,medium,4
4,2146,235400,3,Urban,necessity,9734036,40,high,5
3,2720,28048,3,Rural,moderate,9788088,20,medium,2
4,2651,40044,4,Rural,moderate,9790972,35,low,3
1,2572,191844,1,Urban,necessity,9857444,48,medium,5
2,2948,7076,2,Rural,necessity,9863548,25,high,5
2,2484,208928,2,Urban,necessity,9900324,35,high,4
2,2475,207560,1,Urban,necessity,9908472,25,medium,1
3,2780,47412,3,Rural,moderate,9974020,29,medium,2
3,2406,213280,2,Urban,moderate,9988996,18,medium,1
3,2873,54212,3,Rural,luxury,10034056,46,low,2
4,2180,201792,3,Urban,luxury,10047148,18,medium,2
2,2446,227064,2,Urban,necessity,10122072,2,medium,1
3,2348,149928,2,Urban,necessity,10131396,35,medium,5
1,2719,196208,1,Urban,luxury,10194840,16,high,2
4,2219,141004,3,Urban,luxury,10202344,41,high,1
2,2470,236120,2,Urban,luxury,10212988,36,low,2
1,2652,108236,1,Urban,necessity,10215820,33,low,3
2,2489,153244,2,Urban,moderate,10219888,4,high,5
5,2103,145620,4,Urban,necessity,10283840,33,high,4
3,2365,236248,3,Urban,moderate,10294236,14,high,2
5,2636,57640,4,Rural,necessity,10303236,21,medium,3
3,2403,159580,2,Urban,moderate,10337552,48,medium,4
4,2895,24972,3,Rural,luxury,10340536,20,high,4
3,2526,131060,2,Urban,luxury,10456100,8,medium,2
1,2806,126244,1,Urban,necessity,10615188,7,medium,1
4,2997,43600,4,Rural,moderate,10859500,3,low,2
2,2714,109148,1,Urban,luxury,10880504,17,high,3
2,2692,83872,2,Urban,necessity,10998540,33,high,4
4,2390,115620,4,Urban,moderate,11060916,48,medium,2
1,2943,207560,1,Urban,necessity,11309896,12,high,1
2,2849,202636,1,Urban,luxury,11317428,22,low,2
3,2665,137152,3,Urban,necessity,11333260,22,low,5
4,2581,188328,3,Urban,luxury,11336376,46,low,1
2,2876,223936,2,Urban,moderate,11346012,30,high,3
4,2555,203244,3,Urban,necessity,11347212,38,high,4
2,2934,142340,1,Urban,luxury,11406908,38,high,2
5,2444,219328,4,Urban,luxury,11510484,45,high,1
4,2622,168168,3,Urban,necessity,11671152,8,high,5
5,2548,151112,4,Urban,moderate,11678568,27,low,1
5,2469,218124,4,Urban,necessity,11708864,27,medium,5
5,2538,135040,4,Urban,necessity,11734632,34,low,3
4,2724,85740,3,Urban,luxury,11834392,21,high,4
4,2645,145340,4,Urban,luxury,11972440,30,low,3
3,2982,217800,2,Urban,moderate,12000000,33,high,2
5,2692,126612,4,Urban,necessity,12000000,28,high,1
5,2817,173996,4,Urban,necessity,12000000,47,low,5
3,2969,153236,3,Urban,moderate,12000000,33,high,5
5,2836,106552,4,Urban,necessity,12000000,5,medium,1
4,629,134676,4,Urban,moderate,4800000,48,high,1
2,594,40368,2,Rural,moderate,4800000,19,medium,2
2,1293,29424,2,Rural,necessity,4800000,4,medium,3
4,510,176356,3,Urban,necessity,4800000,35,high,5
5,1211,6684,4,Rural,necessity,4800000,49,low,2
1,1314,38624,1,Rural,necessity,4800000,17,medium,3
3,1484,13420,3,Rural,moderate,4800000,44,low,2
1,855,224236,1,Urban,moderate,4800000,28,medium,5
1,626,148348,1,Urban,necessity,4800000,30,high,1
5,1103,38948,4,Rural,luxury,4800000,29,high,1
1,550,52108,1,Rural,moderate,4800000,46,medium,3
1,2292,23356,1,Rural,moderate,4800000,6,high,4
4,1831,26796,4,Rural,luxury,4806796,35,medium,3
3,1153,14120,3,Rural,necessity,4809344,41,high,4
4,1023,41696,3,Rural,necessity,4830248,37,low,2
4,1777,18864,4,Rural,luxury,4831572,24,high,2
1,1453,54368,1,Rural,moderate,4838904,29,low,5
4,1002,45360,4,Rural,necessity,4841708,49,high,4
2,1260,47024,2,Rural,necessity,4878104,46,low,5
4,1025,47016,3,Rural,luxury,4883216,31,high,1
4,1041,31056,3,Rural,luxury,4901888,35,low,4
3,864,145476,3,Urban,moderate,4910944,33,medium,3
1,1526,52540,1,Rural,moderate,4922772,21,medium,1
3,857,162680,3,Urban,moderate,4923612,32,low,1
5,1660,29720,4,Rural,moderate,4928856,23,high,3
4,1752,30100,4,Rural,moderate,4930656,33,low,1
4,732,214648,4,Urban,moderate,4932968,3,high,4
3,1528,234260,3,Urban,moderate,4942008,18,medium,5
2,1077,126888,1,Urban,necessity,4958512,25,high,1
4,1762,22464,4,Rural,necessity,4973072,42,medium,4
2,1818,151096,1,Urban,moderate,4975980,31,high,2
5,1323,101180,4,Urban,luxury,4981660,3,high,4
4,1031,37144,3,Rural,luxury,4985224,40,high,5
5,1796,8048,4,Rural,luxury,4988336,46,low,4
4,1528,206300,4,Urban,necessity,5009352,24,low,3
1,1263,215024,1,Urban,luxury,5020140,50,medium,5
2,2130,53316,2,Rural,moderate,5029156,32,medium,2
1,2406,18852,1,Rural,moderate,5036196,47,low,3
3,977,182444,2,Urban,luxury,5056016,22,medium,4
5,970,52832,4,Rural,moderate,5057380,23,low,5
3,904,139436,3,Urban,moderate,5064328,2,high,2
3,2192,42800,2,Rural,moderate,5077044,27,medium,3
3,1672,156516,2,Urban,moderate,5119616,42,medium,2
3,1184,55472,3,Rural,luxury,5131568,2,low,4
5,1865,16692,4,Rural,moderate,5136220,26,medium,2
3,1198,10668,3,Rural,necessity,5162760,17,medium,1
1,1989,116832,1,Urban,necessity,5165252,40,high,3
2,2261,17068,1,Rural,luxury,5172944,33,medium,2
1,1930,188832,1,Urban,necessity,5176252,9,high,4
3,1601,200060,3,Urban,moderate,5176624,43,low,4
3,1752,202244,3,Urban,luxury,5205988,48,medium,2
2,1133,87312,2,Urban,necessity,5206336,39,high,4
2,1419,49916,2,Rural,luxury,5219064,29,low,5
1,1958,141128,1,Urban,necessity,5258652,42,medium,5
1,2019,112980,1,Urban,necessity,5260508,26,low,5
2,1515,9200,1,Rural,luxury,5269704,35,medium,1
5,764,160576,4,Urban,luxury,5271480,50,low,2
3,1297,48520,3,Rural,luxury,5300164,25,low,1
5,1847,35844,4,Rural,necessity,5312056,24,high,4
4,1171,13712,4,Rural,moderate,5324724,13,low,1
4,1705,111624,3,Urban,luxury,5373648,7,medium,4
2,1842,223692,2,Urban,moderate,5377152,36,medium,4
4,1656,208492,4,Urban,moderate,5378256,45,high,3
5,735,93368,4,Urban,luxury,5387068,20,medium,5
4,845,228832,4,Urban,luxury,5412944,1,medium,4
2,1915,236252,2,Urban,luxury,5415824,8,medium,3
5,1074,31628,4,Rural,luxury,5426872,46,low,5
4,1217,25800,4,Rural,luxury,5433092,16,low,4
5,760,98592,4,Urban,moderate,5440120,14,medium,4
3,2154,30196,3,Rural,luxury,5447068,12,high,1
3,1805,150600,2,Urban,luxury,5455416,23,low,1
3,1835,80420,2,Urban,necessity,5459368,15,high,5
1,2055,162780,1,Urban,moderate,5466396,28,medium,4
3,2176,28236,3,Rural,necessity,5475244,34,medium,2
2,1166,126144,2,Urban,moderate,5502712,2,low,1
2,1253,152096,2,Urban,luxury,5565644,32,medium,5
1,1433,119612,1,Urban,luxury,5574856,23,low,4
4,2117,11192,4,Rural,moderate,5578864,22,medium,4
1,2688,28144,1,Rural,luxury,5619264,25,medium,2
1,1776,16332,1,Rural,moderate,5624468,22,low,5
5,2026,20428,4,Rural,necessity,5627612,22,low,4
2,2432,13172,2,Rural,moderate,5634888,49,low,1
4,895,181120,4,Urban,moderate,5637204,42,medium,2
5,1100,24312,4,Rural,necessity,5655844,6,medium,5
5,1697,139596,4,Urban,moderate,5664128,15,high,2
4,1717,126372,3,Urban,moderate,5666616,43,low,1
3,1535,47312,2,Rural,necessity,5676200,37,medium,5
2,1992,178228,2,Urban,luxury,5688780,33,medium,2
1,2717,32040,1,Rural,luxury,5690592,8,low,3
5,873,122824,4,Urban,moderate,5709500,44,high,1
4,1004,138652,4,Urban,moderate,5729232,44,low,1
3,2469,49572,2,Rural,luxury,5752064,5,high,1
3,2401,24040,2,Rural,luxury,5760988,39,medium,3
5,1714,167016,4,Urban,necessity,5763100,4,high,3
3,2352,7852,3,Rural,moderate,5776308,6,medium,4
5,2199,43536,4,Rural,moderate,5786512,45,low,2
5,1228,51492,4,Rural,necessity,5787816,32,low,4
1,2701,46632,1,Rural,luxury,5791564,30,low,2
3,1928,147868,3,Urban,luxury,5798580,47,high,3
2,1327,112500,2,Urban,necessity,5798852,35,medium,3
4,2375,44424,3,Rural,necessity,5804480,40,low,4
1,1754,12176,1,Rural,luxury,5810692,16,low,5
5,862,223360,4,Urban,moderate,5814212,13,medium,4
5,2104,11536,4,Rural,necessity,5817636,50,low,2
1,2824,25740,1,Rural,luxury,5819620,42,medium,4
2,1350,179804,1,Urban,necessity,5845732,30,medium,1
3,1138,189696,3,Urban,moderate,5867640,19,medium,2
1,2365,225948,1,Urban,luxury,5870364,17,medium,2
5,2183,33520,4,Rural,necessity,5933328,19,medium,5
1,2871,28028,1,Rural,necessity,5946900,28,high,3
5,1691,232788,4,Urban,necessity,5956148,26,low,2
3,1993,141396,3,Urban,moderate,5956304,37,high,3
4,2435,21020,3,Rural,moderate,6014880,26,low,4
2,2743,55188,2,Rural,necessity,6050696,23,high,1
2,1750,31576,1,Rural,luxury,6103472,9,medium,5
3,2650,31120,3,Rural,necessity,6107556,12,low,3
3,2494,18440,3,Rural,necessity,6110252,1,low,2
4,1152,150696,3,Urban,necessity,6127456,1,high,3
3,2105,177452,3,Urban,luxury,6127924,47,high,2
2,2843,25792,2,Rural,moderate,6148672,34,low,3
3,2680,56124,3,Rural,moderate,6186092,32,high,2
3,2704,10196,3,Rural,necessity,6188412,48,high,4
5,1394,5624,4,Rural,luxury,6230856,25,high,2
4,2609,5952,3,Rural,moderate,6233476,40,medium,2
2,2886,52160,1,Rural,necessity,6245608,45,medium,1
2,2763,31172,2,Rural,luxury,6274972,1,high,2
5,2476,25120,4,Rural,moderate,6306756,16,high,1
2,2324,101780,2,Urban,necessity,6311680,39,medium,5
3,2765,23192,3,Rural,luxury,6334348,5,medium,1
2,2400,87876,2,Urban,luxury,6336748,22,low,4
5,1328,36848,4,Rural,moderate,6350044,29,low,1
1,1644,167216,1,Urban,necessity,6351424,3,medium,5
5,2356,52228,4,Rural,luxury,6353812,12,high,4
5,1428,24188,4,Rural,luxury,6358756,26,high,3
4,2560,53516,4,Rural,necessity,6373304,16,high,3
2,1858,50172,2,Rural,necessity,6379768,37,high,1
1,2428,111392,1,Urban,moderate,6380880,22,low,1
2,2775,35032,2,Rural,necessity,6383996,29,medium,5
3,1655,23040,3,Rural,necessity,6386900,14,high,5
